x,rho,P,u,e,M,H
-0.6009375,1,1,0,2.5,0,3.5
-0.5990625,1,1,0,2.5,0,3.5
-0.5971875,1,1,0,2.5,0,3.5
-0.5953125,1,1,0,2.5,0,3.5
-0.5934375,1,1,0,2.5,0,3.5
-0.5915625,1,1,0,2.5,0,3.5
-0.5896875,1,1,0,2.5,0,3.5
-0.5878125,1,1,0,2.5,0,3.5
-0.5859375,1,1,0,2.5,0,3.5
-0.5840625,1,1,0,2.5,0,3.5
-0.5821875,1,1,0,2.5,0,3.5
-0.5803125,1,1,0,2.5,0,3.5
-0.5784375,1,1,0,2.5,0,3.5
-0.5765625,1,1,0,2.5,0,3.5
-0.5746875,1,1,0,2.5,0,3.5
-0.5728125,1,1,0,2.5,0,3.5
-0.5709375,1,1,0,2.5,0,3.5
-0.5690625,1,1,0,2.5,0,3.5
-0.5671875,1,1,0,2.5,0,3.5
-0.5653125,1,1,0,2.5,0,3.5
-0.5634375,1,1,0,2.5,0,3.5
-0.5615625,1,1,0,2.5,0,3.5
-0.5596875,1,1,0,2.5,0,3.5
-0.5578125,1,1,0,2.5,0,3.5
-0.5559375,1,1,0,2.5,0,3.5
-0.5540625,1,1,0,2.5,0,3.5
-0.5521875,1,1,0,2.5,0,3.5
-0.5503125,1,1,0,2.5,0,3.5
-0.5484375,1,1,0,2.5,0,3.5
-0.5465625,1,1,0,2.5,0,3.5
-0.5446875,1,1,0,2.5,0,3.5
-0.5428125,1,1,0,2.5,0,3.5
-0.5409375,1,1,0,2.5,0,3.5
-0.5390625,1,1,0,2.5,0,3.5
-0.5371875,1,1,0,2.5,0,3.5
-0.5353125,1,1,0,2.5,0,3.5
-0.5334375,1,1,0,2.5,0,3.5
-0.5315625,1,1,0,2.5,0,3.5
-0.5296875,1,1,0,2.5,0,3.5
-0.5278125,1,1,0,2.5,0,3.5
-0.5259375,1,1,0,2.5,0,3.5
-0.5240625,1,1,0,2.5,0,3.5
-0.5221875,1,1,0,2.5,0,3.5
-0.5203125,1,1,0,2.5,0,3.5
-0.5184375,1,1,0,2.5,0,3.5
-0.5165625,1,1,0,2.5,0,3.5
-0.5146875,1,1,0,2.5,0,3.5
-0.5128125,1,1,0,2.5,0,3.5
-0.5109375,1,1,0,2.5,0,3.5
-0.5090625,1,1,0,2.5,0,3.5
-0.5071875,1,1,0,2.5,0,3.5
-0.5053125,1,1,0,2.5,0,3.5
-0.5034375,1,1,0,2.5,0,3.5
-0.5015625,1,1,0,2.5,0,3.5
-0.4996875,1,1,0,2.5,0,3.5
-0.4978125,1,1,0,2.5,0,3.5
-0.4959375,1,1,0,2.5,0,3.5
-0.4940625,1,1,0,2.5,0,3.5
-0.4921875,1,1,0,2.5,0,3.5
-0.4903125,1,1,0,2.5,0,3.5
-0.4884375,1,1,0,2.5,0,3.5
-0.4865625,1,1,0,2.5,0,3.5
-0.4846875,1,1,0,2.5,0,3.5
-0.4828125,1,1,0,2.5,0,3.5
-0.4809375,1,1,0,2.5,0,3.5
-0.4790625,1,1,0,2.5,0,3.5
-0.4771875,1,1,0,2.5,0,3.5
-0.4753125,1,1,0,2.5,0,3.5
-0.4734375,1,1,0,2.5,0,3.5
-0.4715625,1,1,0,2.5,0,3.5
-0.4696875,1,1,0,2.5,0,3.5
-0.4678125,1,1,0,2.5,0,3.5
-0.4659375,1,1,0,2.5,0,3.5
-0.4640625,1,1,0,2.5,0,3.5
-0.4621875,1,1,0,2.5,0,3.5
-0.4603125,1,1,0,2.5,0,3.5
-0.4584375,1,1,0,2.5,0,3.5
-0.4565625,1,1,0,2.5,0,3.5
-0.4546875,1,1,0,2.5,0,3.5
